suite_id	arm_id	run_label	task_id	attempt_index	trial_id	quality_flag	reward	exception_type	exception_summary	runtime_seconds	input_tokens	output_tokens	cost_usd	missing_cost	validity_status	invalid_reason	artifact_count	artifact_types_present	has_result	has_exception	has_agent_transcript	has_trajectory	has_trial_log	has_verifier_stdout	has_verifier_ctrf	has_verifier_reward	first_artifact_dashboard_path	trial_dashboard_path
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	7	84bed545-ad08-4e84-b596-faa88791b46b	normal_failed_trial	0			212.327231	392733	4612	0.3603185	false	valid		8	agent_transcript,config,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	false	true	true	true	true	true	true	/artifacts/dd43b5ca-d674-4d8a-aac6-c7d23fa389e6	/trials/84bed545-ad08-4e84-b596-faa88791b46b
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	8	d07e6668-251a-4c5b-8188-06b5bccccfd8	normal_failed_trial	0			229.977386	426415	4780	0.3845655	false	valid		8	agent_transcript,config,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	false	true	true	true	true	true	true	/artifacts/044df1a6-adb7-4c22-9f6c-7b0434dc2a35	/trials/d07e6668-251a-4c5b-8188-06b5bccccfd8
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:configure-git-webserver	9	ba8d48a9-7ee0-4218-a14d-84eaee43d017	normal_failed_trial	0			221.228887	455109	4902	0.4004245	false	valid		8	agent_transcript,config,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	false	true	true	true	true	true	true	/artifacts/0067a004-d3c3-46bd-a279-c7a4d6f51491	/trials/ba8d48a9-7ee0-4218-a14d-84eaee43d017
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	10	75e54f81-49c2-4792-bdfe-0332329000c2	exception	0	exception_info		131.084274	28826	170	0.080343	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/9938ee21-9e70-449a-93da-8cd0da00da62	/trials/75e54f81-49c2-4792-bdfe-0332329000c2
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	11	0d4ab925-6456-404a-b9f3-d504711c7682	exception	0	exception_info		149.321263	124012	680	0.146813	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/c300d3ce-a3ac-41b4-b79b-0dcede881237	/trials/0d4ab925-6456-404a-b9f3-d504711c7682
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:custom-memory-heap-crash	12	aa8dbfd6-e275-4519-8ec8-fded800fe3e0	exception	0	exception_info		216.505972	265034	4585	0.32782825	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/dfbfe11c-02c1-4ea5-8390-4913dc5abeee	/trials/aa8dbfd6-e275-4519-8ec8-fded800fe3e0
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	22	1f61aa49-b0f4-48ad-a439-dee5783c48ec	exception	0	exception_info		48.648066	0	0	0.028173	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/4db872ec-3179-4ef6-89b9-1c03fe7b8107	/trials/1f61aa49-b0f4-48ad-a439-dee5783c48ec
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	23	6e5a0c03-cdae-4733-bedb-a30294a065bd	exception	0	exception_info		50.233155	0	0	0.028173	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/8875e784-7aae-485c-90aa-d06d58f6baa0	/trials/6e5a0c03-cdae-4733-bedb-a30294a065bd
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:model-extraction-relu-logits	24	880aa3ea-2ede-4747-a249-63844569dbdd	exception	0	exception_info		49.677925	0	0	0.028198	false	valid		9	agent_transcript,config,exception,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	true	true	true	true	true	true	true	/artifacts/4fb0c82d-8cdd-4933-9724-e5d69d5266b6	/trials/880aa3ea-2ede-4747-a249-63844569dbdd
phase3-full-20	router-anthropic-fable-5	router-anthropic-fable-5/2026-07-11__12-15-55	terminal-bench-2.0:mteb-retrieve	29	8f1b87d6-44e4-4d3f-b2a0-2ac41620675f	normal_failed_trial	0			421.107596	86851	975	0.249182	false	valid		8	agent_transcript,config,log,result,trajectory,verifier_ctrf,verifier_reward,verifier_stdout	true	false	true	true	true	true	true	true	/artifacts/477fe410-ec8c-48cd-bc0c-d9a589f2003c	/trials/8f1b87d6-44e4-4d3f-b2a0-2ac41620675f
