suite_id	arm_id	run_label	task_id	attempt_index	trial_id	reward	runtime_seconds	primary_category	secondary_category	confidence	needs_manual_review	matched_signal	matched_pattern	evidence_artifact_type	evidence_artifact_id	evidence_excerpt	trial_dashboard_path	recommended_next_step	notes
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:cancel-async-tasks	4	19dec1e5-6b34-4b93-9fe2-dbb4149bca5a	0	108.822861	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	f84ff0eb-7ccb-48db-b2de-17a356f9479d	gy-1.6.0 rootdir: /tests plugins: json-ctrf-0.3.5 collected 6 items ../tests/test_outputs.py .....F [100%] =================================== FAILURES =================================== ____________________ test_tasks_cancel_above_max_concurrent ____________________ def test_tasks_cancel_above_...	http://127.0.0.1:3000/trials/19dec1e5-6b34-4b93-9fe2-dbb4149bca5a	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:cancel-async-tasks	6	1bb7d702-441a-4167-932c-10749c384d0f	0	87.741182	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	430566e7-02c1-456c-8687-8368c474a5d6	gy-1.6.0 rootdir: /tests plugins: json-ctrf-0.3.5 collected 6 items ../tests/test_outputs.py .....F [100%] =================================== FAILURES =================================== ____________________ test_tasks_cancel_above_max_concurrent ____________________ def test_tasks_cancel_above_...	http://127.0.0.1:3000/trials/1bb7d702-441a-4167-932c-10749c384d0f	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:configure-git-webserver	8	8e437354-1e31-4117-9ae8-b190979cf0d8	0	181.513071	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	f9d71c57-ec67-4359-84f2-d46759415b78	"ggy-1.6.0 rootdir: /tests plugins: json-ctrf-0.3.5 collected 1 item ../tests/test_outputs.py F [100%] =================================== FAILURES =================================== ____________________________ test_hello_html_exists ____________________________ def test_hello_html_exists(): """"""..."	http://127.0.0.1:3000/trials/8e437354-1e31-4117-9ae8-b190979cf0d8	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:model-extraction-relu-logits	22	7d2b2a25-15ee-4b76-9a41-0afeb2348c7e	0	531.426754	wrong_file_or_path	test_assertion_failure	high	false	"path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist"	path .*does not exist	verifier_ctrf	762a4122-76c9-4893-b481-3575064b8706	"f test_stolen_matrix_matches():\n # Check if the stolen_A1.npy file exists\n os.popen(\""python3 /app/steal.py\"").read()\n stolen_path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist\""\n \n # Load the original and stolen matrices\n np.random.seed(..."	http://127.0.0.1:3000/trials/7d2b2a25-15ee-4b76-9a41-0afeb2348c7e	Verify that the model edited the expected file path and produced required files.	matched_rule=path .*does not exist; secondary_rule==+ FAILURES =+; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:model-extraction-relu-logits	23	1f0df234-c806-4b42-85ef-be7fe3cde612	0	218.72901	wrong_file_or_path	test_assertion_failure	high	false	"path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist"	path .*does not exist	verifier_ctrf	7d5eb52a-0218-4d52-8237-19aa93f26e2b	"f test_stolen_matrix_matches():\n # Check if the stolen_A1.npy file exists\n os.popen(\""python3 /app/steal.py\"").read()\n stolen_path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist\""\n \n # Load the original and stolen matrices\n np.random.seed(..."	http://127.0.0.1:3000/trials/1f0df234-c806-4b42-85ef-be7fe3cde612	Verify that the model edited the expected file path and produced required files.	matched_rule=path .*does not exist; secondary_rule==+ FAILURES =+; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:model-extraction-relu-logits	24	fe144761-d771-476b-b374-72471bdb120e	0	507.705243	wrong_file_or_path	test_assertion_failure	high	false	"path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist"	path .*does not exist	verifier_ctrf	d8ab6941-f6cc-43db-a05e-6ff19c31fbc9	"f test_stolen_matrix_matches():\n # Check if the stolen_A1.npy file exists\n os.popen(\""python3 /app/steal.py\"").read()\n stolen_path = Path(\""/app/stolen_A1.npy\"")\n assert stolen_path.exists(), f\""File {stolen_path} does not exist\""\n \n # Load the original and stolen matrices\n np.random.seed(..."	http://127.0.0.1:3000/trials/fe144761-d771-476b-b374-72471bdb120e	Verify that the model edited the expected file path and produced required files.	matched_rule=path .*does not exist; secondary_rule==+ FAILURES =+; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:mteb-retrieve	28	8b17fe14-0754-4b94-9528-aac2991fb1ab	0	292.424545	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	85ff5c0b-d54c-419c-a43b-a3ef6ac58aee	ir: /tests plugins: anyio-4.14.1, json-ctrf-0.3.5 collected 2 items ../tests/test_outputs.py .F [100%] =================================== FAILURES =================================== ______________________________ test_data_matches _______________________________ def test_data_matches(): expecte...	http://127.0.0.1:3000/trials/8b17fe14-0754-4b94-9528-aac2991fb1ab	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:mteb-retrieve	29	b444ea5e-f0f6-4510-86fd-5d3498477a63	0	287.012691	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	703f7368-b41f-42c6-995f-c509d23c406b	ir: /tests plugins: anyio-4.14.1, json-ctrf-0.3.5 collected 2 items ../tests/test_outputs.py .F [100%] =================================== FAILURES =================================== ______________________________ test_data_matches _______________________________ def test_data_matches(): expecte...	http://127.0.0.1:3000/trials/b444ea5e-f0f6-4510-86fd-5d3498477a63	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:mteb-retrieve	30	9dcb7852-512a-4a85-bd05-a0f88352e6eb	0	293.209197	test_assertion_failure	verifier_environment_issue	high	false	=================================== FAILURES ===================================	=+ FAILURES =+	verifier_stdout	c9645bda-2ffe-45b3-bee8-a1440b910eb0	ir: /tests plugins: anyio-4.14.1, json-ctrf-0.3.5 collected 2 items ../tests/test_outputs.py .F [100%] =================================== FAILURES =================================== ______________________________ test_data_matches _______________________________ def test_data_matches(): expecte...	http://127.0.0.1:3000/trials/9dcb7852-512a-4a85-bd05-a0f88352e6eb	Inspect verifier stdout/CTRF to identify the expected behavior that still failed.	matched_rule==+ FAILURES =+; secondary_rule=\bdocker\b; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
phase3-full-20	router-anthropic-opus	router-anthropic-opus/2026-07-01__12-15-57	terminal-bench-2.0:openssl-selfsigned-cert	37	c7b47273-d193-49d2-a3c3-38121b85a01e	0	81.381341	dependency_or_import_error	wrong_file_or_path	high	false	ModuleNotFoundError	\bModuleNotFoundError\b	verifier_stdout	db772388-4082-4b3b-b1f2-08e7572bd0d3	": Traceback (most recent call last): E File ""/app/check_cert.py"", line 8, in <module> E from cryptography import x509 E ModuleNotFoundError: No module named 'cryptography' E E assert 1 == 0 E + where 1 = CompletedProcess(args=['python', '/app/check_cert.py'], return"	http://127.0.0.1:3000/trials/c7b47273-d193-49d2-a3c3-38121b85a01e	Check whether the solution introduced an unavailable dependency or wrong import path.	matched_rule=\bModuleNotFoundError\b; secondary_rule=path .*does not exist; deferred_low_priority_artifacts_after_confident_match=log,agent_transcript,trajectory; evidence_sources=result,verifier_ctrf,verifier_reward,verifier_stdout
